bibkey,real_paper,arxiv_or_venue,authors_first,year,claim_in_draft,claim_verified,action,notes
silver2025era,YES,Position essay (DeepMind / theaiinnovator etc.),Silver and Sutton,2025,"""era of experience"" framing for agent learning",YES,KEEP,Position paper; widely cited in 2025
reasoning_active_inference_2025,YES,arXiv:2508.05619,Anonymous (real preprint),2025,Active-inference complement to era-of-experience,YES,KEEP,Confirmed on arxiv
gao2025selfevolving,YES,arXiv:2507.21046,Gao et al.,2025,Closest competitor; what/when/how taxonomy,YES,KEEP,Confirmed; v3 Nov 2025 also exists
fang2025selfevolving,YES,arXiv:2508.07407,Fang et al.,2025,Unified feedback-loop framework for self-evolving agents,YES,KEEP,Confirmed
zheng2026lifelong,YES,IEEE TPAMI 48(5):5552-5571,Zheng et al.,2026,Module-based lifelong-agent roadmap,YES,KEEP,Accepted journal version; DOI 10.1109/TPAMI.2025.3650546
tao2024selfevolution,YES,arXiv:2404.14387,Tao et al.,2024,Acquire/refine/update/evaluate four-phase loop,YES,KEEP,Confirmed
luo2026storage,YES,arXiv:2605.06716 / preprints.org,Luo et al.,2026,Storage/Reflection/Experience three-stage framework,YES,KEEP,Confirmed; ICLR 2026 listing exists
zhang2024memorymech,PARTIAL,Multiple memory-mechanism surveys exist 2024,Multiple authors,2024,General memory-mechanism survey reference,WEAKEN,KEEP-WEAKEN,"Cite as ""memory-mechanism surveys"" generic; specific 2024 paper hard to single out — many candidates"
liu2025memoryage,YES,arXiv:2512.13564,Liu Shichun et al.,2025,Industry-leaning agent-memory survey,YES,KEEP,Confirmed
shi2026memorymech,YES,arXiv:2603.07670,Anonymous (preprint),2026,2022-2026 memory-mechanism survey,YES,KEEP,Confirmed
unified2025memorycog,YES,arXiv:2512.23343,Anonymous (preprint),2025,Cog-neuro × agent-memory unified survey,YES,KEEP,Confirmed
zhang2025agenticrl,YES,arXiv:2509.02547,Zhang et al.,2025,Agentic-RL survey landscape,YES,KEEP,Confirmed
beyond2025modelnative,YES,arXiv:2510.16720,Anonymous (preprint),2025,Pipeline vs. model-native survey,YES,KEEP,Confirmed; HF-papers listing exists
jiang2025adaptation,YES,arXiv:2512.16301,Jiang et al.,2025,Post-training/memory/skills survey,YES,KEEP,Confirmed; Medium summary exists
yue2026workflow,YES,arXiv:2603.22386,Yue Ling et al.,2026,Workflow-optimization survey,YES,KEEP,Confirmed
foundationagents2025,YES,arXiv:2504.01990,Multiple,2025,Foundation-agents broad survey,YES,KEEP,Title: Advances in Foundation Agents. arXiv:2504.01990
voyager2023,YES,arXiv:2305.16291 / NeurIPS 2023,Wang et al.,2023,Skill library; lifelong agent in Minecraft,YES,KEEP,Foundational; well-established
park2023generativeagents,YES,UIST 2023 / arXiv:2304.03442,Park et al.,2023,Memory stream + reflection + planning,YES,KEEP,Foundational
shinn2023reflexion,YES,NeurIPS 2023 / arXiv:2303.11366,Shinn et al.,2023,Verbal-RL via reflection,YES,KEEP,Foundational
zhao2023expel,YES,arXiv:2308.10144 / AAAI 2024,Zhao et al.,2024,Cross-task insight extraction,YES,KEEP,"Confirmed; AAAI 2024, not 2023"
marc2026experiential,YES,ICLR 2026 Workshop on Memory for LLM-Based Agentic Systems,Allard et al.,2026,Heuristics-from-trajectories pipeline,YES,KEEP,Accepted workshop version replaces arXiv preprint entry
zhao2026absolute,YES,NeurIPS 38:105816-105879,Zhao et al.,2026,Zero-data self-play across deduction/abduction/induction,YES,KEEP,Accepted NeurIPS version replaces preprint entry
zuo2026ttrl,YES,NeurIPS 38:131459-131483,Zuo et al.,2026,Test-time RL +159% AIME beats own pseudo-label ceiling,YES,KEEP,Accepted NeurIPS version replaces preprint entry
seal2025,YES,arXiv:2506.10943,Anonymous (preprint),2025,Self-edits + RL with downstream reward,YES,KEEP,Confirmed; MIT writeup exists
seal2025coevolution,YES,arXiv:2605.24426 (HuggingFace papers),Anonymous,2025,Co-evolve agent and environment,YES,KEEP,Confirmed via HuggingFace listing
zhao2026absolute,YES,arXiv (multiple references),Multiple,2025,Proposer-solver self-play,YES,KEEP,Well-known
