bibkey,title,authors,year,venue,url,code,problem,method,agent_type,experience_type,what_is_updated,benchmark,key_contribution,limitation,lifecycle_stage,relation_to_taxonomy
silver2025era,Welcome to the Era of Experience,Silver and Sutton,2025,DeepMind position paper,https://theaiinnovator.com/welcome-to-the-era-of-experience/,,Position paper on experience as next AI training substrate,Conceptual essay,Conceptual,Experience streams,Conceptual frame,N/A,Names the paradigm we survey,Conceptual not empirical,Framing,Framing thesis used in introduction
gao2025selfevolving,A Survey of Self-Evolving Agents: On the Path to Artificial Super Intelligence,Gao et al.,2025,arXiv 2507.21046,https://arxiv.org/abs/2507.21046v2,,Survey of self-evolving agents,Taxonomy by what/when/how,Survey,Mixed,Mixed,N/A,Closest taxonomy competitor,Component-update view rather than experience-flow view,Comparison,Closest competitor; we add experience-lifecycle axis
fang2025selfevolving,A Comprehensive Survey of Self-Evolving AI Agents: A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems,Fang et al.,2025,arXiv 2508.07407,https://arxiv.org/abs/2508.07407,,Survey of self-evolving agents,Unified feedback-loop framework,Survey,Mixed,Mixed,N/A,Strong loop framework,High level loop without explicit pipeline stages,Comparison,Complementary; we extend loop into eight pipeline stages
zheng2026lifelong,Lifelong Learning of Large Language Model based Agents: A Roadmap,Zheng et al.,2026,IEEE TPAMI 48(5):5552-5571,https://doi.org/10.1109/TPAMI.2025.3650546,https://github.com/qianlimalab/awesome-lifelong-llm-agent,Survey of lifelong LLM agents,Module-based: perception/memory/action,Survey,Mixed,Mixed,N/A,Module-centric roadmap,Implicit experience flow,Comparison,Complementary module view; we reorganize across modules by experience flow
tao2024selfevolution,A Survey on Self-Evolution of Large Language Models,Tao et al.,2024,arXiv 2404.14387,https://arxiv.org/html/2404.14387v1,,Survey of self-evolving LLMs,Acquire-refine-update-evaluate four-phase loop,Survey,Mixed,Mixed,N/A,Pre-agent precursor to ours,Pre-2025; not agent-focused,Comparison,Predecessor; we extend to agents and to 2025-26 literature
luo2026storage,From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms,Luo et al.,2026,arXiv 2605.06716 / ICLR 2026,https://arxiv.org/html/2605.06716v1,https://github.com/FeishuLuo/Evolving-LLM-Agent-Memory-Survey,Survey of agent memory evolution,Three-stage Storage/Reflection/Experience,Survey,Memory,Memory,N/A,Closest naming framing,Memory-centric; misses internalization and governance,Comparison,Closest framing; their three stages = our stages 2 4 5; we add 1 3 6 7 8
zhang2024memorymech,A Survey on the Memory Mechanism of LLM-based Agents,Zhang et al.,2024,arXiv,https://arxiv.org/abs/2404.13501,https://github.com/nuster1128/LLM_Agent_Memory_Survey,Survey of agent memory,Memory types and operations,Survey,Memory,Memory,N/A,Foundational memory survey,Pre-2025,Comparison,Foundational; cited heavily for stage 2 vocabulary
liu2025memoryage,Memory in the Age of AI Agents,Liu et al.,2025,arXiv 2512.13564,https://arxiv.org/abs/2512.13564,https://github.com/Shichun-Liu/Agent-Memory-Paper-List,Industry-leaning agent memory survey,Mechanisms/evaluation/frontiers,Survey,Memory,Memory,N/A,Industry coverage,Less academic taxonomy,Comparison,Cross-reference for stage 2 evaluation
shi2026memorymech,Mechanisms Evaluation and Emerging Frontiers (Agent Memory),Shi et al.,2026,arXiv 2603.07670,https://arxiv.org/abs/2603.07670,,Survey of agent memory 2022-2026,Mechanisms × evaluation × frontiers,Survey,Memory,Memory,N/A,Detailed memory survey,Memory only,Comparison,Cross-reference for stage 2 details
unified2025memorycog,A Unified Survey on Memory Systems from Cognitive Neuroscience to Autonomous Agents,Anonymous,2025,arXiv 2512.23343,https://arxiv.org/html/2512.23343v1,,Bridge cognitive neuroscience to agent memory,Cog-neuro to AI mapping,Survey,Memory,Memory,N/A,Connection to cognitive science,Cross-disciplinary; thin on internalization,Comparison,Cited for cognitive grounding of episodic/semantic/procedural distinction
